Cohort_and_panel,Target,Task_type,Figure_primary_metric,ROC_AUC_or_Pearson_r_demo_mean_sd,ROC_AUC_or_Pearson_r_embeddings_mean_sd,R2_demo_mean_sd,R2_embeddings_mean_sd,F1_demo_mean_sd,F1_embeddings_mean_sd,p_combined_vs_demo,BH_FDR_q,N_positive_over_N_participants_baseline,Significance_stars_demo_vs_emb
HPP sleep cohort — current measures,Mean,regression,Pearson r,0.09 ± 0.01,0.15 ± 0.00,-0.18 ± 0.01,-0.03 ± 0.00,,,0.0022401,0.00297948,3027,**
HPP sleep cohort — current measures,GMI,regression,Pearson r,0.09 ± 0.02,0.15 ± 0.00,-0.18 ± 0.02,-0.03 ± 0.00,,,0.00304091,0.0037481,3027,**
HPP sleep cohort — current measures,LDL cholesterol (BT),regression,Pearson r,0.07 ± 0.01,0.12 ± 0.01,-0.18 ± 0.01,-0.07 ± 0.01,,,0.00125404,0.00189898,1849,**
HPP sleep cohort — current measures,Median Daily Sodium,regression,Pearson r,0.06 ± 0.00,0.10 ± 0.01,-0.23 ± 0.00,-0.03 ± 0.00,,,0.000139487,0.000492855,5106,***
HPP sleep cohort — current measures,Median daily carbohydrate caloric intake  (DL),regression,Pearson r,0.02 ± 0.01,0.09 ± 0.01,-0.30 ± 0.00,-0.02 ± 0.01,,,0.00013606,0.000492855,5106,***
HPP sleep cohort — current measures,Daily Folate,regression,Pearson r,0.03 ± 0.01,0.09 ± 0.00,-0.23 ± 0.02,-0.03 ± 0.00,,,0.00288094,0.00363548,5106,**
HPP sleep cohort — current measures,COGI,regression,Pearson r,0.05 ± 0.01,0.08 ± 0.01,-0.22 ± 0.03,-0.05 ± 0.00,,,0.00678963,0.00720332,3027,**
HPP sleep cohort — current measures,Median daily lipid caloric intake(DL),regression,Pearson r,-0.00 ± 0.01,0.02 ± 0.00,-0.30 ± 0.02,-0.04 ± 0.00,,,0.00124469,0.00189898,5106,**
VitalDB — preoperative diagnoses,Preoperative diabetes,classification,ROC AUC,0.66 ± 0.00,0.67 ± 0.00,,,,,0.0407375,0.0678959,626/6154,*
VitalDB — preoperative measures,Preoperative glucose,regression,Pearson r,0.21 ± 0.00,0.23 ± 0.00,0.04 ± 0.00,0.05 ± 0.00,,,0.00197981,0.00494952,5791,**
VitalDB — preoperative measures,Preoperative hemoglobin,regression,Pearson r,0.45 ± 0.00,0.52 ± 0.00,0.21 ± 0.00,0.27 ± 0.00,,,0.00168076,0.00494952,5831,**
